dealer_id,dealer_name,city,province,region,dealer_type
1,Nusantara Motor Yogyakarta 001,Yogyakarta,Yogyakarta,Java,Standard
2,Nusantara Motor Semarang 002,Semarang,Central Java,Java,Standard
3,Nusantara Motor Bitung 003,Bitung,North Sulawesi,Sulawesi,Authorized
4,Nusantara Motor Makassar 004,Makassar,South Sulawesi,Sulawesi,Standard
5,Nusantara Motor Surabaya 005,Surabaya,East Java,Java,Authorized
6,Nusantara Motor Sleman 006,Sleman,Yogyakarta,Java,Standard
7,Nusantara Motor Pontianak 007,Pontianak,West Kalimantan,Kalimantan,Flagship
8,Nusantara Motor Badung 008,Badung,Bali,Eastern Indonesia,Flagship
9,Nusantara Motor Sidoarjo 009,Sidoarjo,East Java,Java,Standard
10,Nusantara Motor Badung 010,Badung,Bali,Eastern Indonesia,Authorized
11,Nusantara Motor Jakarta Timur 011,Jakarta Timur,DKI Jakarta,Java,Flagship
12,Nusantara Motor Parepare 012,Parepare,South Sulawesi,Sulawesi,Standard
13,Nusantara Motor Mataram 013,Mataram,West Nusa Tenggara,Eastern Indonesia,Standard
14,Nusantara Motor Sidoarjo 014,Sidoarjo,East Java,Java,Standard
15,Nusantara Motor Sleman 015,Sleman,Yogyakarta,Java,Standard
16,Nusantara Motor Sleman 016,Sleman,Yogyakarta,Java,Standard
17,Nusantara Motor Bitung 017,Bitung,North Sulawesi,Sulawesi,Standard
18,Nusantara Motor Malang 018,Malang,East Java,Java,Standard
19,Nusantara Motor Sleman 019,Sleman,Yogyakarta,Java,Standard
20,Nusantara Motor Cimahi 020,Cimahi,West Java,Java,Standard
21,Nusantara Motor Makassar 021,Makassar,South Sulawesi,Sulawesi,Standard
22,Nusantara Motor Metro 022,Metro,Lampung,Sumatra,Flagship
23,Nusantara Motor Badung 023,Badung,Bali,Eastern Indonesia,Standard
24,Nusantara Motor Jakarta Selatan 024,Jakarta Selatan,DKI Jakarta,Java,Standard
25,Nusantara Motor Jakarta Timur 025,Jakarta Timur,DKI Jakarta,Java,Standard
26,Nusantara Motor Dumai 026,Dumai,Riau,Sumatra,Standard
27,Nusantara Motor Yogyakarta 027,Yogyakarta,Yogyakarta,Java,Authorized
