transaction_id,transaction_date,customer_id,vehicle_id,dealer_id,quantity,unit_price,discount_amount,tax_amount,total_revenue,payment_method,sales_channel
500001,2023-10-18,1210,140,45,1,173700000,0,19107000,192807000,Cash,Showroom
500002,2025-06-15,4445,123,88,1,786000000,4300000,85987000,867687000,Credit,Showroom
500003,2024-05-10,3423,107,50,1,375900000,11600000,40073000,404373000,Credit,Showroom
500004,2024-10-28,2212,124,111,1,314700000,7500000,33792000,340992000,Credit,Event
500005,2020-07-24,3566,120,37,1,393200000,24900000,40513000,408813000,Credit,Showroom
500006,2021-11-02,4499,145,83,1,366000000,24800000,37532000,378732000,Credit,Showroom
500007,2025-06-08,3442,123,57,1,751200000,23200000,80080000,808080000,Credit,Showroom
500008,2024-01-23,3838,135,88,1,286900000,5000000,31009000,312909000,Credit,Showroom
500009,2022-01-11,3623,155,32,1,653400000,20000000,69674000,703074000,Credit,Showroom
500010,2025-10-27,1596,117,50,1,184900000,10900000,19140000,193140000,Credit,Showroom
500011,2020-02-20,3652,101,8,1,239500000,5300000,25762000,259962000,Credit,Showroom
500012,2023-04-04,2515,110,119,1,789400000,54100000,80883000,816183000,Credit,Showroom
500013,2024-03-03,2657,115,31,1,280800000,9200000,29876000,301476000,Cash,Showroom
500014,2021-10-02,5438,140,86,1,174800000,0,19228000,194028000,Credit,Showroom
500015,2025-05-04,2199,128,71,1,302100000,12400000,31867000,321567000,Credit,Showroom
500016,2025-08-04,4375,116,50,1,258900000,15900000,26730000,269730000,Credit,Showroom
500017,2024-06-25,2151,102,91,1,468600000,25300000,48763000,492063000,Credit,Event
500018,2023-12-27,4316,107,19,1,379100000,16400000,39897000,402597000,Cash,Showroom
500019,2021-05-10,5095,134,55,1,261300000,14000000,27203000,274503000,Cash,Showroom
500020,2023-07-17,3278,138,22,1,256800000,9900000,27159000,274059000,Cash,Online
500021,2023-05-30,5103,176,86,1,1444700000,55600000,152801000,1541901000,Credit,Showroom
500022,2024-02-28,5273,118,56,1,201200000,1100000,22011000,222111000,Credit,Showroom
500023,2021-03-13,5381,103,17,1,294000000,17000000,30470000,307470000,Credit,Showroom
500024,2021-04-02,2275,117,113,1,193600000,3000000,20966000,211566000,Credit,Showroom
500025,2025-12-13,4048,102,68,1,455700000,27400000,47113000,475413000,Cash,Showroom
500026,2024-09-30,2013,136,119,1,443600000,12800000,47388000,478188000,Cash,Showroom
500027,2023-12-28,3867,118,48,1,208600000,11800000,21648000,218448000,Credit,Showroom
500028,2020-06-09,3406,105,2,1,574000000,24700000,60423000,609723000,Credit,Showroom
500029,2022-05-15,2240,112,58,1,232300000,10200000,24431000,246531000,Credit,Showroom
500030,2023-05-25,4030,138,11,1,244800000,2000000,26708000,269508000,Cash,Showroom
500031,2024-02-11,3813,140,12,1,178000000,200000,19558000,197358000,Credit,Showroom
500032,2023-05-17,3751,146,40,1,204200000,6800000,21714000,219114000,Credit,Showroom
500033,2022-09-18,3522,114,78,1,291200000,13200000,30580000,308580000,Credit,Online
500034,2023-04-14,4306,108,28,1,181900000,6400000,19305000,194805000,Cash,Showroom
500035,2022-08-23,2810,119,68,1,206500000,9600000,21659000,218559000,Credit,Online
500036,2020-05-22,3030,115,90,1,281200000,300000,30899000,311799000,Cash,Showroom
500037,2024-09-04,5455,146,93,1,196600000,9400000,20592000,207792000,Credit,Showroom
500038,2025-08-01,1603,164,27,1,449800000,12500000,48103000,485403000,Credit,Showroom
500039,2023-04-19,5470,108,81,1,171200000,600000,18766000,189366000,Credit,Showroom
500040,2022-06-16,1916,114,30,1,279300000,7700000,29876000,301476000,Cash,Showroom
500041,2025-08-02,3906,106,97,1,388000000,9800000,41602000,419802000,Credit,Showroom
500042,2022-06-22,2897,105,116,1,558200000,1400000,61248000,618048000,Credit,Event
500043,2023-09-25,4420,109,12,1,753300000,22600000,80377000,811077000,Credit,Showroom
500044,2023-03-16,4393,125,102,1,639600000,25600000,67540000,681540000,Cash,Showroom
500045,2020-07-01,4793,141,120,1,383900000,16200000,40447000,408147000,Cash,Showroom
500046,2024-05-25,3020,139,57,1,257200000,8500000,27357000,276057000,Credit,Showroom
500047,2023-01-11,3143,105,56,1,550800000,7300000,59785000,603285000,Credit,Showroom
500048,2020-12-27,2249,105,56,1,548700000,32300000,56804000,573204000,Credit,Showroom
500049,2023-10-21,4943,113,19,1,165300000,5900000,17534000,176934000,Credit,Showroom
500050,2024-05-21,2240,106,10,1,377900000,16300000,39776000,401376000,Credit,Showroom
500051,2021-05-28,2998,106,32,1,396400000,24400000,40920000,412920000,Credit,Showroom
500052,2025-01-02,4153,127,38,1,281800000,19200000,28886000,291486000,Credit,Showroom
500053,2024-07-09,5055,116,45,1,257600000,0,28336000,285936000,Cash,Event
500054,2024-12-03,4463,108,84,1,172300000,10800000,17765000,179265000,Cash,Showroom
500055,2025-01-17,4963,107,14,1,378900000,14700000,40062000,404262000,Credit,Online
500056,2025-09-28,1786,173,114,1,1322400000,14500000,143869000,1451769000,Credit,Showroom
500057,2022-03-05,3994,120,108,1,399300000,6700000,43186000,435786000,Credit,Showroom
500058,2020-12-11,3602,139,111,1,251000000,4100000,27159000,274059000,Credit,Online
500059,2021-08-10,2431,115,84,1,298100000,3000000,32461000,327561000,Cash,Showroom
500060,2022-09-29,2200,112,82,1,240600000,4800000,25938000,261738000,Credit,Showroom
500061,2025-11-14,4234,157,3,1,336200000,22400000,34518000,348318000,Credit,Showroom
500062,2024-05-21,1762,108,71,1,181000000,500000,19855000,200355000,Cash,Showroom
500063,2025-11-22,1442,118,26,1,208700000,2800000,22649000,228549000,Credit,Showroom
500064,2021-12-26,4205,112,102,1,223200000,4400000,24068000,242868000,Credit,Showroom
500065,2020-09-15,2408,122,68,1,765200000,50300000,78639000,793539000,Credit,Online
500066,2023-09-05,2431,117,87,1,181100000,3100000,19580000,197580000,Cash,Online
500067,2024-02-15,5009,143,38,1,735300000,16000000,79123000,798423000,Credit,Showroom
500068,2023-01-09,2423,127,107,1,276400000,10100000,29293000,295593000,Credit,Showroom
500069,2022-09-26,5458,141,44,5,379500000,99300000,197802000,1996002000,Cash,Fleet
500070,2021-04-18,2543,126,7,1,628200000,9900000,68013000,686313000,Credit,Showroom
500071,2024-09-18,4071,108,15,1,173400000,4900000,18535000,187035000,Credit,Showroom
500072,2024-04-18,4562,112,1,1,233500000,4500000,25190000,254190000,Cash,Showroom
500073,2022-08-04,2858,115,120,1,278600000,3000000,30316000,305916000,Credit,Showroom
500074,2023-07-20,3418,126,75,1,658600000,27800000,69388000,700188000,Credit,Showroom
