target_id,dealer_id,target_month,target_year,sales_target_units,revenue_target
1,1,1,2020,22,7905778870
2,1,2,2020,18,6266277180
3,1,3,2020,19,7049462764
4,1,4,2020,20,6558848420
5,1,5,2020,24,7735065480
6,1,6,2020,25,9528513950
7,1,7,2020,24,9012123024
8,1,8,2020,20,7529012340
9,1,9,2020,17,6547167653
10,1,10,2020,22,9197780350
11,1,11,2020,22,7039274814
12,1,12,2020,22,7465484664
13,1,1,2021,27,8325521037
14,1,2,2021,20,7370580340
15,1,3,2021,21,6549290181
16,1,4,2021,28,11039195664
17,1,5,2021,21,8153527746
18,1,6,2021,24,8122975416
19,1,7,2021,26,8525236174
20,1,8,2021,28,10761140600
21,1,9,2021,25,9433795975
22,1,10,2021,28,10044771828
23,1,11,2021,21,8060376471
24,1,12,2021,24,8565935304
25,1,1,2022,26,8214369826
26,1,2,2022,28,8970131380
27,1,3,2022,23,7479182619
28,1,4,2022,23,7989756215
29,1,5,2022,21,8386198296
30,1,6,2022,29,11368097527
31,1,7,2022,21,8694835548
32,1,8,2022,25,10231245200
33,1,9,2022,23,9190488603
34,1,10,2022,29,11701511310
35,1,11,2022,27,11059078635
36,1,12,2022,25,8350953550
37,1,1,2023,20,7196182700
38,1,2,2023,22,7912421176
39,1,3,2023,26,10677935450
40,1,4,2023,26,10794340492
41,1,5,2023,23,9476267375
42,1,6,2023,26,10436900396
43,1,7,2023,27,10675553463
44,1,8,2023,21,6426970641
45,1,9,2023,23,7603454816
46,1,10,2023,29,11994200451
47,1,11,2023,23,8091170552
48,1,12,2023,29,9926136559
49,1,1,2024,21,7456543584
50,1,2,2024,25,8325597525
51,1,3,2024,24,8215393512
52,1,4,2024,27,8905443021
53,1,5,2024,27,9994923045
54,1,6,2024,27,9018570213
55,1,7,2024,22,8270628828
56,1,8,2024,27,10885307553
57,1,9,2024,23,9146114427
58,1,10,2024,27,9482656689
59,1,11,2024,29,9241425070
60,1,12,2024,29,11640469297
61,1,1,2025,27,8145363591
62,1,2,2025,20,6035864000
63,1,3,2025,29,11692068185
64,1,4,2025,28,8470301392
65,1,5,2025,27,9340038504
66,1,6,2025,25,9288969125
67,1,7,2025,26,9936295356
68,1,8,2025,21,8622134661
69,1,9,2025,25,8697755550
70,1,10,2025,25,8612918400
71,1,11,2025,20,7678650420
72,1,12,2025,29,11434835227
73,2,1,2020,20,8326721340
74,2,2,2020,22,7830713990
75,2,3,2020,18,7112514654
76,2,4,2020,17,5393281739
77,2,5,2020,17,6734193663
78,2,6,2020,18,7121878218
79,2,7,2020,21,6583782618
80,2,8,2020,23,9078667272
81,2,9,2020,17,6777337725
82,2,10,2020,18,7053402960
83,2,11,2020,17,6949288985
84,2,12,2020,23,8134372073
85,2,1,2021,22,8096166694
86,2,2,2021,21,7628312328
87,2,3,2021,25,9562959900
88,2,4,2021,21,6619554354
89,2,5,2021,23,9117994075
90,2,6,2021,21,6591946431
91,2,7,2021,28,10282111672
92,2,8,2021,28,9942709840
93,2,9,2021,29,11830281750
94,2,10,2021,29,11088056533
95,2,11,2021,24,9363411936
96,2,12,2021,28,10173027788
97,2,1,2022,20,6565984020
98,2,2,2022,25,9154987600
99,2,3,2022,27,10260078624
100,2,4,2022,20,6745114540
101,2,5,2022,29,11758767344
102,2,6,2022,28,11228365988
103,2,7,2022,20,7991168960
104,2,8,2022,21,7593972393
105,2,9,2022,27,8240490558
106,2,10,2022,23,7970138181
107,2,11,2022,25,9624866350
108,2,12,2022,23,8430663317
109,2,1,2023,25,9272799125
110,2,2,2023,20,7322598640
111,2,3,2023,23,8486451197
112,2,4,2023,27,10768936986
113,2,5,2023,27,10246734738
114,2,6,2023,21,8366400756
115,2,7,2023,22,6826086256
116,2,8,2023,26,8790173704
117,2,9,2023,24,9978935160
118,2,10,2023,29,11295302278
119,2,11,2023,23,7363356413
120,2,12,2023,22,7717279790
121,2,1,2024,26,9273980898
122,2,2,2024,23,9015458396
123,2,3,2024,21,8108361912
124,2,4,2024,27,10736133444
125,2,5,2024,20,6200677940
126,2,6,2024,27,9254953377
127,2,7,2024,25,8838018450
128,2,8,2024,27,9779260059
129,2,9,2024,20,6924463280
130,2,10,2024,26,8439259894
131,2,11,2024,25,9391295775
132,2,12,2024,28,10710647724
133,2,1,2025,23,7498414667
134,2,2,2025,29,8760670146
135,2,3,2025,20,6348839420
136,2,4,2025,29,10578579342
137,2,5,2025,21,6448797411
138,2,6,2025,25,9263160150
139,2,7,2025,25,9484197625
140,2,8,2025,25,10146643925
141,2,9,2025,28,9542176336
142,2,10,2025,23,7864064412
143,2,11,2025,29,8860369391
144,2,12,2025,24,8049511176
145,3,1,2020,10,3387031450
146,3,2,2020,10,4019306020
147,3,3,2020,10,3574691210
148,3,4,2020,11,4283654749
149,3,5,2020,14,4797344230
150,3,6,2020,14,5365276294
151,3,7,2020,12,4056805644
152,3,8,2020,14,5265133776
153,3,9,2020,12,3859750596
154,3,10,2020,12,3685733580
155,3,11,2020,12,3719111388
156,3,12,2020,13,4857394672
157,3,1,2021,15,5474652030
158,3,2,2021,14,4654642020
159,3,3,2021,15,5106348030
160,3,4,2021,13,4412728684
161,3,5,2021,16,5328207376
162,3,6,2021,17,6605376367
163,3,7,2021,13,4585747322
164,3,8,2021,12,3920784732
165,3,9,2021,12,4088205228
166,3,10,2021,13,5240154959
167,3,11,2021,14,5349225994
168,3,12,2021,14,5562041436
169,3,1,2022,14,5293164394
170,3,2,2022,16,6206615632
171,3,3,2022,16,6437129456
172,3,4,2022,17,7110685557
173,3,5,2022,15,4958034720
174,3,6,2022,17,7087916539
175,3,7,2022,16,5396305200
176,3,8,2022,13,4532706399
177,3,9,2022,16,5826028544
178,3,10,2022,14,5391407014
179,3,11,2022,15,4580532225
180,3,12,2022,14,5304464718
181,3,1,2023,14,4966699640
182,3,2,2023,13,4480360365
183,3,3,2023,13,5427685263
184,3,4,2023,16,6127576640
185,3,5,2023,14,4420244416
186,3,6,2023,16,6439394976
187,3,7,2023,16,5877287520
188,3,8,2023,14,4784943940
189,3,9,2023,14,4560654980
190,3,10,2023,15,4690526790
191,3,11,2023,17,6444438591
192,3,12,2023,15,5479878195
193,3,1,2024,13,4344340715
194,3,2,2024,15,5288396625
195,3,3,2024,14,5420992234
196,3,4,2024,17,6003412334
197,3,5,2024,13,5220628335
198,3,6,2024,17,6581963695
199,3,7,2024,17,5175086008
200,3,8,2024,15,5858806785
201,3,9,2024,16,4821621872
202,3,10,2024,13,5072278588
203,3,11,2024,13,4626008764
204,3,12,2024,12,4775629548
205,3,1,2025,16,5415317296
206,3,2,2025,16,5903431216
207,3,3,2025,17,6698133671
208,3,4,2025,14,4831788444
209,3,5,2025,15,4658731215
210,3,6,2025,16,5001637264
211,3,7,2025,13,5024095310
212,3,8,2025,15,5355472395
213,3,9,2025,15,5804357595
214,3,10,2025,14,4530111964
215,3,11,2025,16,5167969792
216,3,12,2025,12,4799531988
217,4,1,2020,20,6784617220
218,4,2,2020,24,9324074040
219,4,3,2020,21,7487622471
220,4,4,2020,17,5808451591
221,4,5,2020,22,8648736096
222,4,6,2020,20,7657234700
223,4,7,2020,24,7277626512
224,4,8,2020,21,6884418765
225,4,9,2020,22,8761588088
226,4,10,2020,24,9932219256
227,4,11,2020,23,9434325449
228,4,12,2020,19,7618706317
229,4,1,2021,21,6436421817
230,4,2,2021,23,8703883261
231,4,3,2021,22,8521858642
232,4,4,2021,20,7273864500
233,4,5,2021,28,10903727352
234,4,6,2021,25,10062083050
235,4,7,2021,27,10970160426
236,4,8,2021,23,9657187675
237,4,9,2021,27,8611479063
238,4,10,2021,29,11108148864
239,4,11,2021,20,6984809320
240,4,12,2021,27,10585056915
241,4,1,2022,25,10097665900
242,4,2,2022,28,9198392784
243,4,3,2022,29,8902104103
244,4,4,2022,23,9366178404
245,4,5,2022,24,7562205528
246,4,6,2022,27,11138369913
247,4,7,2022,22,8841204196
248,4,8,2022,28,10330778808
249,4,9,2022,22,8462923986
250,4,10,2022,28,11253812164
251,4,11,2022,23,9599551124
252,4,12,2022,24,7830642480
253,4,1,2023,29,11023376789
254,4,2,2023,25,7743939525
255,4,3,2023,22,8375507360
256,4,4,2023,29,8942876508
257,4,5,2023,26,9285254628
258,4,6,2023,29,9418420625
259,4,7,2023,29,10776629767
260,4,8,2023,28,10418267720
261,4,9,2023,21,7989489438
262,4,10,2023,20,7368781800
263,4,11,2023,23,7963222978
264,4,12,2023,26,8862798854
265,4,1,2024,25,8602679425
266,4,2,2024,21,7475534430
267,4,3,2024,21,7084416150
268,4,4,2024,25,8176175500
269,4,5,2024,24,8976126384
270,4,6,2024,20,7545229680
271,4,7,2024,26,8466890744
272,4,8,2024,27,8943033474
273,4,9,2024,25,7997652625
274,4,10,2024,21,7983112935
275,4,11,2024,22,7140899458
276,4,12,2024,24,7229891640
277,4,1,2025,28,10286587360
278,4,2,2025,20,6714550080
279,4,3,2025,29,9655251909
280,4,4,2025,28,8777090924
281,4,5,2025,22,8847256440
282,4,6,2025,25,7754247200
283,4,7,2025,24,8301859080
284,4,8,2025,25,10273120000
285,4,9,2025,27,10455783804
286,4,10,2025,20,8370272880
287,4,11,2025,28,11371498656
288,4,12,2025,24,8166059064
289,5,1,2020,14,5707794204
290,5,2,2020,12,4548438732
291,5,3,2020,10,4127450910
292,5,4,2020,12,4137073452
293,5,5,2020,13,4837039038
294,5,6,2020,14,5624265822
295,5,7,2020,13,4830076186
296,5,8,2020,12,3853118064
297,5,9,2020,10,3945517310
298,5,10,2020,14,4252326344
299,5,11,2020,11,4427020290
300,5,12,2020,14,4439010464
301,5,1,2021,13,5317630994
302,5,2,2021,17,5947668841
303,5,3,2021,16,5488819760
304,5,4,2021,15,5898963870
305,5,5,2021,14,5449948350
306,5,6,2021,14,5744273612
307,5,7,2021,14,4295925368
308,5,8,2021,17,5767611641
309,5,9,2021,17,5749785577
310,5,10,2021,15,4991347020
311,5,11,2021,12,3640737456
312,5,12,2021,17,5434362460
313,5,1,2022,12,4071427704
314,5,2,2022,17,5361733241
315,5,3,2022,14,4794519478
316,5,4,2022,14,4333788032
317,5,5,2022,15,5677694190
318,5,6,2022,15,5550005145
319,5,7,2022,15,4545193905
320,5,8,2022,12,4439955864
321,5,9,2022,13,4694132118
322,5,10,2022,17,5376835752
323,5,11,2022,16,5903706352
324,5,12,2022,16,6631474144
325,5,1,2023,12,4731960420
326,5,2,2023,14,4785275418
327,5,3,2023,12,3728621544
328,5,4,2023,16,5248129936
329,5,5,2023,14,4342977814
330,5,6,2023,13,3910357646
331,5,7,2023,15,6101203410
332,5,8,2023,17,6741501606
333,5,9,2023,16,5550845072
334,5,10,2023,12,4697046312
335,5,11,2023,14,4413950898
336,5,12,2023,12,4024757844
337,5,1,2024,13,5042382592
338,5,2,2024,15,4549887585
339,5,3,2024,16,5111465264
340,5,4,2024,16,5293092256
341,5,5,2024,17,6570165321
342,5,6,2024,13,4815980065
343,5,7,2024,15,4877350590
