inventory_id,dealer_id,vehicle_id,stock_available,stock_in,stock_out,inventory_month
1,1,129,1,3,3,2025-11-01
2,1,129,22,12,9,2025-10-01
3,1,129,32,14,9,2025-12-01
4,1,129,33,24,2,2025-03-01
5,1,129,27,24,23,2024-02-01
6,1,129,9,11,2,2024-08-01
7,1,129,22,5,9,2025-06-01
8,1,133,15,22,9,2025-12-01
9,1,133,32,17,15,2024-06-01
10,1,133,17,23,25,2025-10-01
11,1,133,19,5,0,2025-08-01
12,1,133,31,24,16,2024-05-01
13,1,133,0,19,23,2024-10-01
14,1,133,35,12,5,2025-07-01
15,1,133,32,13,7,2025-01-01
16,1,146,33,24,15,2025-08-01
17,1,146,30,16,13,2025-01-01
18,1,146,29,10,9,2025-05-01
19,1,146,21,19,23,2024-03-01
20,1,146,27,15,5,2024-07-01
21,1,146,23,23,17,2025-11-01
22,1,146,17,5,7,2025-03-01
23,1,146,8,13,16,2025-02-01
24,1,186,13,11,8,2024-06-01
25,1,186,25,9,13,2024-07-01
26,1,186,16,3,2,2025-09-01
27,1,186,7,11,12,2025-04-01
28,1,186,18,10,2,2024-12-01
29,1,186,42,24,1,2024-05-01
30,1,186,21,20,17,2024-08-01
31,1,186,24,8,13,2025-06-01
32,1,186,13,15,14,2025-11-01
33,1,186,7,7,12,2024-10-01
34,1,186,8,8,3,2024-11-01
35,1,186,29,4,2,2025-02-01
36,1,164,17,19,11,2025-08-01
37,1,164,0,18,22,2025-11-01
38,1,164,8,9,5,2024-03-01
39,1,164,19,14,2,2025-06-01
40,1,164,9,13,10,2025-01-01
41,1,164,32,21,18,2024-08-01
42,1,164,20,9,2,2025-03-01
43,1,164,29,20,5,2025-07-01
44,1,101,31,18,15,2024-07-01
45,1,101,8,15,18,2024-11-01
46,1,101,31,24,20,2024-05-01
47,1,101,24,23,0,2025-04-01
48,1,101,10,15,13,2024-08-01
49,1,101,11,11,14,2024-03-01
50,1,101,28,16,0,2025-12-01
51,1,101,13,11,14,2024-02-01
52,1,118,3,25,25,2025-01-01
53,1,118,0,10,11,2024-04-01
54,1,118,20,5,7,2025-07-01
55,1,118,8,2,1,2024-12-01
56,1,118,10,19,13,2025-02-01
57,1,118,19,24,18,2024-09-01
58,2,176,16,6,9,2024-08-01
59,2,176,12,7,2,2024-05-01
60,2,176,28,18,20,2025-05-01
61,2,176,20,16,5,2025-08-01
62,2,176,28,8,4,2025-03-01
63,2,176,17,9,2,2025-02-01
64,2,176,23,3,2,2024-01-01
65,2,166,30,4,1,2024-05-01
66,2,166,30,22,15,2025-07-01
67,2,166,3,23,28,2025-11-01
68,2,166,7,15,8,2025-12-01
69,2,166,0,25,27,2025-10-01
70,2,166,4,7,9,2024-10-01
71,2,166,0,5,9,2025-05-01
72,2,162,5,6,10,2024-05-01
73,2,162,28,15,2,2025-07-01
74,2,162,1,5,5,2024-03-01
75,2,162,37,22,10,2024-01-01
76,2,162,34,15,0,2024-02-01
77,2,162,12,13,3,2025-02-01
78,2,162,27,20,10,2024-10-01
79,2,162,30,12,5,2025-05-01
80,2,162,23,10,4,2024-12-01
81,2,162,10,5,1,2025-08-01
82,2,162,24,19,2,2024-06-01
83,2,171,18,22,11,2025-11-01
84,2,171,30,20,0,2025-06-01
85,2,171,27,22,10,2025-10-01
86,2,171,10,9,3,2024-09-01
87,2,171,24,18,23,2025-02-01
88,2,171,23,7,11,2025-04-01
89,2,170,32,19,12,2025-12-01
90,2,170,9,20,14,2024-04-01
91,2,170,21,10,4,2024-09-01
92,2,170,38,18,10,2025-05-01
93,2,170,2,12,12,2024-12-01
94,2,170,12,5,1,2024-02-01
95,2,112,30,25,9,2025-07-01
96,2,112,10,21,23,2024-07-01
97,2,112,16,2,1,2024-02-01
98,2,112,12,21,14,2025-08-01
99,2,112,28,17,7,2025-11-01
100,2,112,12,20,25,2025-05-01
101,2,112,9,19,11,2025-12-01
102,2,112,28,16,7,2025-02-01
103,2,112,36,13,6,2025-04-01
104,2,112,35,19,4,2024-01-01
105,2,112,15,12,2,2025-06-01
106,2,134,3,6,8,2025-03-01
107,2,134,7,14,15,2024-02-01
108,2,134,22,4,0,2024-10-01
109,2,134,39,23,4,2025-04-01
110,2,134,10,20,15,2024-05-01
111,2,134,16,8,8,2024-04-01
112,2,134,16,9,5,2024-09-01
113,2,134,21,9,2,2025-05-01
114,2,101,20,22,5,2024-09-01
115,2,101,18,19,18,2025-05-01
116,2,101,0,7,11,2025-12-01
117,2,101,20,10,1,2024-10-01
118,2,101,36,17,4,2024-05-01
119,2,101,37,17,10,2024-07-01
120,2,101,25,2,2,2024-03-01
121,2,101,15,5,10,2025-02-01
122,3,182,11,10,14,2025-11-01
123,3,182,10,10,9,2025-02-01
124,3,182,28,20,10,2025-04-01
125,3,182,0,3,5,2025-03-01
126,3,182,7,5,10,2024-09-01
127,3,182,14,16,19,2025-01-01
128,3,182,26,19,2,2024-01-01
129,3,182,9,11,8,2024-12-01
130,3,104,14,15,2,2025-03-01
131,3,104,6,6,9,2025-09-01
132,3,104,20,15,12,2024-01-01
133,3,104,31,21,11,2024-09-01
134,3,104,27,20,9,2024-02-01
135,3,104,2,4,9,2025-08-01
136,3,104,13,16,21,2025-04-01
137,3,104,16,3,1,2025-12-01
138,3,104,0,18,22,2025-07-01
139,3,143,40,22,5,2025-07-01
140,3,143,6,15,12,2024-09-01
141,3,143,0,14,17,2024-11-01
142,3,143,8,10,2,2024-04-01
143,3,143,5,3,1,2025-09-01
144,3,143,25,24,3,2025-04-01
145,3,143,18,20,13,2024-07-01
146,3,143,31,14,10,2025-03-01
147,3,138,4,20,19,2025-07-01
148,3,138,20,7,12,2025-12-01
149,3,138,23,22,7,2024-02-01
150,3,138,39,12,3,2024-08-01
151,3,138,18,8,12,2025-05-01
152,3,138,25,22,25,2024-05-01
153,3,138,2,6,9,2024-11-01
154,3,138,48,19,0,2024-09-01
155,3,138,4,15,12,2024-07-01
156,3,138,24,4,3,2024-01-01
157,3,138,0,2,3,2025-06-01
158,3,180,0,17,19,2025-08-01
159,3,180,12,11,10,2024-12-01
