campaign_id,campaign_name,brand,campaign_channel,start_date,end_date,campaign_cost,target_region
1,Honda Year-End 2025,Honda,Event,2025-02-01,2025-04-08,1500000000,Sumatra
2,Wuling Festival 2022,Wuling,Social,2022-01-01,2022-02-22,1700000000,Java
3,Daihatsu Launch 2021,Daihatsu,Print,2021-01-01,2021-02-06,1500000000,Java
4,Suzuki Year-End 2023,Suzuki,Print,2023-06-01,2023-07-31,2400000000,Eastern Indonesia
5,Daihatsu Festival 2025,Daihatsu,Event,2025-01-01,2025-02-19,3900000000,Sumatra
6,Mitsubishi Lebaran 2023,Mitsubishi,Radio,2023-01-01,2023-02-17,2800000000,Java
7,Toyota Launch 2023,Toyota,Social,2023-08-01,2023-09-25,3300000000,Java
8,Daihatsu Launch 2025,Daihatsu,TV,2025-10-01,2025-11-10,2700000000,Java
9,Daihatsu Promo 2022,Daihatsu,Digital,2022-10-01,2022-11-20,3700000000,Java
10,Kia Promo 2024,Kia,Social,2024-05-01,2024-06-01,3400000000,Java
11,Hyundai Tukar Tambah 2024,Hyundai,Social,2024-05-01,2024-06-28,1600000000,Java
12,Daihatsu Lebaran 2021,Daihatsu,Event,2021-10-01,2021-12-08,2400000000,Java
13,Honda Promo 2021,Honda,TV,2021-02-01,2021-04-11,1100000000,Java
14,Daihatsu Year-End 2021,Daihatsu,Social,2021-10-01,2021-10-31,2000000000,Sumatra
15,Daihatsu Tukar Tambah 2024,Daihatsu,Print,2024-11-01,2025-01-14,2500000000,Java
16,Daihatsu Promo 2021,Daihatsu,Digital,2021-11-01,2022-01-02,3500000000,Kalimantan
17,Daihatsu Launch 2022,Daihatsu,Radio,2022-06-01,2022-07-21,800000000,Java
18,Toyota Promo 2024,Toyota,Print,2024-03-01,2024-04-19,3400000000,Kalimantan
19,Daihatsu Lebaran 2025,Daihatsu,Event,2025-07-01,2025-09-04,1800000000,Java
20,Daihatsu Tukar Tambah 2024,Daihatsu,Digital,2024-09-01,2024-10-09,1000000000,Java
21,Honda Tukar Tambah 2022,Honda,Event,2022-01-01,2022-02-19,700000000,Eastern Indonesia
22,Suzuki Festival 2024,Suzuki,Social,2024-06-01,2024-07-04,3700000000,Java
23,Nissan Year-End 2025,Nissan,Digital,2025-01-01,2025-03-07,1100000000,Sulawesi
24,Wuling Tukar Tambah 2021,Wuling,TV,2021-07-01,2021-09-04,900000000,Java
25,Suzuki Tukar Tambah 2024,Suzuki,Event,2024-11-01,2024-12-06,1500000000,Kalimantan
26,Toyota Year-End 2025,Toyota,Event,2025-08-01,2025-09-02,1900000000,Java
27,Daihatsu Promo 2022,Daihatsu,Radio,2022-03-01,2022-04-20,2100000000,Java
28,Toyota Lebaran 2021,Toyota,Event,2021-09-01,2021-10-29,2800000000,Eastern Indonesia
29,Mazda Year-End 2022,Mazda,Print,2022-07-01,2022-08-24,2500000000,Java
30,Hyundai Year-End 2022,Hyundai,Social,2022-02-01,2022-04-15,2500000000,Sumatra
31,Mercedes-Benz Festival 2022,Mercedes-Benz,Digital,2022-04-01,2022-05-23,3000000000,Java
32,Toyota Festival 2021,Toyota,Event,2021-04-01,2021-05-04,1900000000,Sulawesi
33,Toyota Launch 2024,Toyota,Digital,2024-04-01,2024-05-24,2600000000,Java
34,Hyundai Year-End 2024,Hyundai,Radio,2024-07-01,2024-09-02,3000000000,Java
35,Toyota Launch 2022,Toyota,Social,2022-05-01,2022-06-13,3800000000,Kalimantan
36,Suzuki Tukar Tambah 2021,Suzuki,TV,2021-10-01,2021-11-04,3200000000,Java
