financing_id,transaction_id,financing_company,down_payment,loan_amount,tenor_months,interest_rate,installment_amount
9001,500002,Mandiri Tunas Finance,242600000,625087000,60,9.23,15226000
9002,500003,Mandiri Tunas Finance,115600000,288773000,24,4.69,13160000
9003,500004,FIFGROUP,93000000,247992000,24,6.80,11738000
9004,500005,Mandiri Tunas Finance,110700000,298113000,48,3.66,7119000
9005,500006,BFI Finance,108200000,270532000,36,6.98,9088000
9006,500007,BFI Finance,204000000,604080000,48,8.34,16783000
9007,500008,Astra Credit,107500000,205409000,60,9.10,4981000
9008,500009,Mandiri Tunas Finance,155500000,547574000,60,5.14,11471000
9009,500010,Maybank Finance,59700000,133440000,60,3.74,2639000
9010,500011,Adira Finance,53200000,206762000,60,3.90,4118000
9011,500012,Maybank Finance,191900000,624283000,12,8.15,56263000
9012,500014,BFI Finance,53000000,141028000,36,7.30,4775000
9013,500015,Maybank Finance,74900000,246667000,60,7.85,5724000
9014,500016,FIFGROUP,79900000,189830000,36,9.48,6772000
9015,500017,FIFGROUP,104400000,387663000,48,7.17,10392000
9016,500021,FIFGROUP,353600000,1188301000,48,5.53,30232000
9017,500022,Adira Finance,45900000,176211000,60,5.99,3816000
9018,500023,Adira Finance,101300000,206170000,60,9.12,5003000
9019,500024,BFI Finance,49900000,161666000,48,7.63,4395000
9020,500027,FIFGROUP,68100000,150348000,48,6.39,3932000
9021,500028,Maybank Finance,127800000,481923000,60,8.97,11634000
9022,500029,Astra Credit,50000000,196531000,36,9.15,6957000
9023,500031,Astra Credit,59100000,138258000,36,3.77,4274000
9024,500032,FIFGROUP,73100000,146014000,60,7.59,3357000
9025,500033,Mandiri Tunas Finance,63600000,244980000,24,8.23,11887000
9026,500035,FIFGROUP,64900000,153659000,60,7.28,3493000
9027,500037,BFI Finance,64500000,143292000,12,6.89,12763000
9028,500038,Astra Credit,135900000,349503000,60,4.12,7025000
9029,500039,Adira Finance,47100000,142266000,48,5.81,3652000
9030,500041,Mandiri Tunas Finance,123600000,296202000,60,7.20,6713000
9031,500042,Maybank Finance,159000000,459048000,12,5.09,40201000
9032,500043,Adira Finance,204100000,606977000,60,7.94,14132000
9033,500046,FIFGROUP,84400000,191657000,48,5.19,4821000
9034,500047,Adira Finance,152600000,450685000,48,4.02,10899000
9035,500048,FIFGROUP,144800000,428404000,24,8.72,20963000
9036,500049,Mandiri Tunas Finance,58600000,118334000,24,7.68,5687000
9037,500050,Mandiri Tunas Finance,136600000,264776000,24,4.41,12005000
9038,500051,BFI Finance,113900000,299020000,60,8.66,7141000
9039,500052,Adira Finance,84800000,206686000,24,8.22,10027000
9040,500055,Maybank Finance,92300000,311962000,12,7.43,27928000
9041,500056,Adira Finance,407400000,1044369000,12,8.73,94628000
9042,500057,BCA Finance,146500000,289286000,36,6.41,9580000
9043,500058,Adira Finance,57200000,216859000,48,3.73,5191000
9044,500060,Mandiri Tunas Finance,86300000,175438000,60,8.84,4216000
9045,500061,BFI Finance,91500000,256818000,36,3.80,7947000
9046,500063,Astra Credit,76300000,152249000,24,3.66,6808000
9047,500064,FIFGROUP,78600000,164268000,48,7.24,4413000
9048,500065,BFI Finance,252100000,541439000,24,4.54,24608000
9049,500067,Maybank Finance,214100000,584323000,12,3.84,50563000
9050,500068,BCA Finance,74600000,220993000,36,7.39,7499000
9051,500070,Adira Finance,197700000,488613000,60,3.51,9572000
9052,500071,Adira Finance,54700000,132335000,24,9.43,6553000
9053,500073,Astra Credit,64100000,241816000,12,7.65,21692000
9054,500074,FIFGROUP,178000000,522188000,60,3.94,10417000
9055,500076,Mandiri Tunas Finance,52800000,120027000,60,8.20,2820000
9056,500078,Maybank Finance,55800000,126018000,60,9.08,3053000
9057,500083,Mandiri Tunas Finance,155000000,555178000,12,9.10,50474000
9058,500084,BFI Finance,84600000,217986000,12,7.49,19526000
9059,500086,Astra Credit,85600000,179690000,24,8.61,8776000
9060,500087,BCA Finance,129500000,463684000,48,5.40,11746000
9061,500088,BFI Finance,68300000,255820000,12,6.04,22605000
