service_id,customer_id,vehicle_id,dealer_id,service_date,service_type,service_cost,customer_satisfaction_score
7001,2453,127,40,2021-11-13,Repair,2624000,2
7002,2453,127,40,2024-02-21,Periodic,1542000,5
7003,2453,127,40,2022-01-10,Repair,3324000,4
7004,3385,132,20,2024-01-25,Periodic,1131000,3
7005,3385,132,20,2025-10-03,Repair,2583000,5
7006,2486,113,73,2024-08-31,Periodic,722000,3
7007,2486,113,73,2024-10-27,Periodic,1340000,5
7008,3281,105,89,2025-07-29,Repair,2132000,4
7009,3446,103,105,2025-09-23,Periodic,1001000,4
7010,3446,103,105,2024-03-09,Periodic,952000,4
7011,3446,103,105,2025-12-16,Periodic,1885000,5
7012,3706,165,74,2025-07-06,Periodic,1936000,5
7013,2134,108,52,2023-10-20,Periodic,1488000,3
7014,2134,108,52,2020-10-29,Repair,5026000,5
7015,1211,125,104,2022-08-07,Repair,6522000,3
7016,1211,125,104,2023-08-09,Periodic,2070000,3
7017,1211,125,104,2023-02-03,Periodic,1893000,4
7018,3767,102,58,2024-02-20,Warranty,431000,4
7019,3948,138,75,2022-09-22,Warranty,365000,5
7020,2754,180,62,2022-03-29,Periodic,1713000,5
7021,2396,139,45,2025-03-17,Periodic,1481000,4
7022,2739,124,47,2024-12-05,Warranty,480000,4
7023,2739,124,47,2021-12-07,Periodic,951000,5
7024,4498,151,120,2024-06-25,Repair,2411000,1
7025,4498,151,120,2021-06-09,Periodic,1511000,4
7026,2086,120,52,2022-01-28,Periodic,675000,3
7027,2086,120,52,2022-12-17,Repair,4778000,5
7028,1136,109,60,2024-10-15,Repair,3352000,5
7029,1136,109,60,2025-04-30,Periodic,1857000,5
7030,1035,133,23,2023-07-21,Periodic,1419000,3
7031,2539,126,22,2024-01-29,Body & Paint,6656000,5
7032,1437,117,61,2023-12-19,Repair,7466000,5
7033,1437,117,61,2022-08-29,Periodic,861000,4
7034,4233,120,94,2024-05-12,Warranty,445000,2
7035,4233,120,94,2025-01-10,Body & Paint,6028000,3
7036,3051,111,91,2022-08-25,Warranty,120000,4
7037,3051,111,91,2022-05-24,Periodic,1314000,1
7038,3051,111,91,2025-01-20,Periodic,808000,5
7039,5350,108,23,2025-06-10,Periodic,1557000,5
7040,5264,111,7,2022-05-13,Warranty,310000,3
7041,5264,111,7,2023-11-25,Periodic,1558000,5
7042,4560,123,53,2024-12-14,Periodic,825000,5
7043,1661,101,78,2025-09-24,Periodic,1050000,3
7044,3536,103,114,2025-07-02,Body & Paint,5717000,4
7045,3536,103,114,2025-08-10,Periodic,1754000,4
7046,4824,116,5,2025-04-12,Warranty,432000,2
7047,1149,135,33,2025-10-03,Periodic,2194000,1
7048,2206,127,59,2023-10-29,Body & Paint,3884000,4
7049,2597,115,13,2024-10-01,Warranty,20000,4
7050,2597,115,13,2025-09-11,Body & Paint,2500000,2
7051,2597,115,13,2025-01-30,Periodic,1296000,1
7052,3790,163,17,2025-01-28,Periodic,1899000,3
7053,3790,163,17,2024-05-24,Periodic,1226000,4
7054,4566,104,45,2024-02-14,Periodic,1543000,5
7055,4566,104,45,2024-07-15,Periodic,643000,5
7056,2180,120,110,2022-10-31,Periodic,939000,2
7057,5367,179,90,2024-06-13,Repair,1545000,4
7058,5367,179,90,2023-11-11,Warranty,77000,3
7059,3928,138,44,2025-09-13,Periodic,1233000,4
7060,1652,123,120,2024-09-17,Periodic,1662000,4
7061,1652,123,120,2023-06-10,Periodic,1664000,5
7062,1652,123,120,2025-08-24,Periodic,1934000,3
7063,3300,179,2,2022-06-30,Repair,3081000,2
7064,4014,175,69,2024-10-12,Periodic,955000,5
7065,3848,103,41,2024-10-20,Periodic,861000,2
7066,3838,110,57,2020-12-08,Periodic,1167000,3
7067,3838,110,57,2022-10-08,Periodic,768000,5
7068,2470,117,39,2025-07-05,Periodic,2143000,3
7069,2470,117,39,2022-11-18,Body & Paint,11242000,4
7070,1154,102,70,2025-08-04,Periodic,866000,3
7071,1154,102,70,2025-05-21,Body & Paint,6408000,5
7072,4974,158,65,2025-08-19,Periodic,2172000,4
7073,4974,158,65,2025-12-18,Repair,5094000,4
7074,5162,105,112,2024-09-09,Repair,2221000,5
7075,4239,104,104,2022-03-18,Periodic,1106000,4
7076,1773,107,6,2022-08-13,Periodic,777000,4
7077,2983,125,46,2023-12-19,Periodic,787000,5
7078,3213,114,18,2025-11-23,Periodic,721000,4
7079,1491,127,50,2024-04-01,Periodic,1890000,5
7080,1491,127,50,2024-03-18,Periodic,1640000,5
7081,1491,127,50,2025-07-25,Repair,2887000,2
7082,5351,120,85,2025-03-29,Warranty,135000,5
7083,5351,120,85,2024-06-08,Repair,2533000,5
7084,2718,106,36,2025-07-27,Warranty,461000,5
7085,1944,109,91,2023-09-29,Periodic,764000,4
7086,1944,109,91,2022-03-15,Warranty,219000,5
7087,3243,128,103,2022-02-12,Periodic,1907000,5
7088,2323,109,40,2025-06-03,Repair,5339000,5
7089,1734,122,37,2024-07-10,Repair,4170000,5
7090,1734,122,37,2023-07-10,Repair,4255000,3
7091,3328,131,53,2025-09-16,Warranty,335000,4
7092,3190,111,74,2025-11-17,Periodic,2158000,5
7093,1096,111,60,2023-03-09,Periodic,1123000,5
7094,1096,111,60,2024-05-21,Warranty,172000,5
7095,1799,122,51,2024-08-11,Periodic,1641000,4
7096,1799,122,51,2025-11-13,Periodic,992000,4
7097,1799,122,51,2025-11-09,Periodic,2118000,4
7098,4236,126,65,2021-12-22,Warranty,258000,5
7099,4411,129,95,2024-08-18,Periodic,1417000,4
7100,4411,129,95,2024-10-23,Periodic,1894000,4
7101,1527,110,118,2024-03-19,Repair,6824000,5
7102,1527,110,118,2024-02-14,Repair,7253000,5
7103,1527,110,118,2022-07-11,Periodic,1329000,5
7104,1498,115,77,2023-05-26,Body & Paint,4580000,4
7105,1498,115,77,2022-08-09,Repair,5600000,5
7106,2208,127,28,2025-01-03,Periodic,1772000,5
7107,2208,127,28,2022-05-04,Periodic,922000,3
7108,4327,143,83,2024-12-28,Warranty,46000,3
7109,4551,101,108,2021-10-13,Body & Paint,4044000,5
7110,4321,165,107,2025-11-04,Periodic,1033000,5
7111,3080,118,9,2023-10-01,Repair,5980000,3
7112,3080,118,9,2024-02-28,Repair,6945000,5
7113,4664,104,33,2023-12-30,Body & Paint,3949000,5
7114,4664,104,33,2023-11-24,Repair,3645000,5
7115,4664,104,33,2023-12-27,Warranty,249000,4
7116,4084,125,23,2025-02-05,Body & Paint,11880000,2
7117,4084,125,23,2024-05-17,Periodic,667000,4
