age_band,income_segment,purchases,revenue
25-34,Middle,1002,492972867000.0
35-44,Middle,974,487502676000.0
45-54,Middle,968,476915385000.0
55+,Middle,851,438031308000.0
35-44,Upper-Middle,701,357875211000.0
45-54,Upper-Middle,711,348449535000.0
55+,Upper-Middle,586,293638512000.0
25-34,Upper-Middle,535,293041998000.0
45-54,Low,316,166343046000.0
35-44,Low,318,163771620000.0
<25,Middle,284,141535545000.0
45-54,High,300,139083111000.0
25-34,Low,269,129804399000.0
55+,Low,233,125652888000.0
35-44,High,253,124702395000.0
25-34,High,247,123411798000.0
<25,Upper-Middle,215,113904093000.0
55+,High,242,112952157000.0
<25,High,95,59953764000.0
<25,Low,55,25408344000.0
