brand,avg_list_price,avg_discount,discount_rate_pct,net_revenue
Volvo,1283653846.0,64361538.0,4.06,21948696000.0
MINI,897248000.0,47020000.0,3.84,32703930000.0
Hyundai,533508176.0,22914151.0,3.81,204212472000.0
BMW,1417936885.0,56369672.0,3.72,197748720000.0
Mercedes-Benz,1398831343.0,55649254.0,3.7,215533806000.0
Chery,402581818.0,16269697.0,3.7,30992754000.0
Wuling,266873134.0,10310448.0,3.53,83739732000.0
BYD,550197233.0,21794466.0,3.53,167465367000.0
Kia,539271074.0,22783471.0,3.52,83938311000.0
Honda,468887522.0,17934417.0,3.5,947033019000.0
Toyota,436239801.0,16700332.0,3.49,1543288611000.0
Suzuki,306420461.0,11701505.0,3.46,360930042000.0
Lexus,1645473529.0,59520588.0,3.45,62835768000.0
Daihatsu,238756027.0,8932792.0,3.44,445144965000.0
Mitsubishi,410580847.0,15754392.0,3.41,468707268000.0
Nissan,346521918.0,12660274.0,3.4,58253133000.0
Mazda,490360667.0,19322000.0,3.33,93440244000.0
Wuling EV,291836232.0,10657971.0,3.29,24004971000.0
