brand,yr,units,market_share_pct,prev_year_market_share_pct,market_share_change_pct
Daihatsu,2020,195.0,16.94,,
Daihatsu,2021,267.0,17.23,16.94,0.29
Daihatsu,2022,287.0,15.57,17.23,-1.66
Daihatsu,2023,314.0,15.98,15.57,0.41
Daihatsu,2024,318.0,14.6,15.98,-1.38
Daihatsu,2025,351.0,15.09,14.6,0.49
Honda,2020,214.0,18.59,,
Honda,2021,249.0,16.06,18.59,-2.53
Honda,2022,305.0,16.55,16.06,0.49
Honda,2023,336.0,17.1,16.55,0.55
Honda,2024,375.0,17.22,17.1,0.12
Honda,2025,408.0,17.54,17.22,0.32
Mitsubishi,2020,104.0,9.04,,
Mitsubishi,2021,145.0,9.35,9.04,0.31
Mitsubishi,2022,181.0,9.82,9.35,0.47
Mitsubishi,2023,201.0,10.23,9.82,0.41
Mitsubishi,2024,201.0,9.23,10.23,-1.0
Mitsubishi,2025,230.0,9.89,9.23,0.66
Suzuki,2020,124.0,10.77,,
Suzuki,2021,159.0,10.26,10.77,-0.51
Suzuki,2022,172.0,9.33,10.26,-0.93
Suzuki,2023,180.0,9.16,9.33,-0.17
Suzuki,2024,210.0,9.64,9.16,0.48
Suzuki,2025,252.0,10.83,9.64,1.19
Toyota,2020,330.0,28.67,,
Toyota,2021,468.0,30.19,28.67,1.52
Toyota,2022,574.0,31.14,30.19,0.95
Toyota,2023,578.0,29.41,31.14,-1.73
Toyota,2024,658.0,30.21,29.41,0.8
Toyota,2025,694.0,29.84,30.21,-0.37
